model,kb_included,f1_macro,f1_micro,exact_match_score
claude-3-5-sonnet-20240620,True,0.8333333333333334,0.8,0.3333333333333333
claude-3-5-sonnet-20240620,False,0.7738095238095237,0.7368421052631579,0.16666666666666666
gpt-4o-mini,True,0.5555555555555555,0.5714285714285714,0.0
gpt-4o-mini,False,0.746031746031746,0.7,0.0
